ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-7610149,Source1,2,2018-03-26 14:03:21,2018-03-26 20:03:21,40.75909,-73.83876,40.76388,-73.83952,0.333,At RT-25A/Grand Central Pky/Exit 13 - Accident. Left lane blocked.,Van Wyck Expy N,Corona,Queens,NY,11368,US,US/Eastern,KLGA,2018-03-26 13:51:00,46.0,41.9,33.0,30.69,10.0,NE,8.1,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610150,Source1,3,2018-03-26 14:03:21,2018-03-26 20:03:21,40.70966,-73.795879,40.70952,-73.7964,0.029,At Merrick Blvd - Accident., Hillside Ave,Jamaica,Queens,NY,11432-4251,US,US/Eastern,KJFK,2018-03-26 13:51:00,46.0,39.6,33.0,30.71,10.0,NE,15.0,,Partly Cloudy,True,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-7610157,Source1,2,2018-03-26 15:10:52,2018-03-26 21:10:52,40.73525,-73.91933,40.7324,-73.92497,0.355,At I-495/Long Island Expy/Exit 35 - Accident. Left lane blocked.,Brooklyn Queens Expy,Woodside,Queens,NY,11377,US,US/Eastern,KLGA,2018-03-26 14:51:00,48.0,,29.0,30.67,10.0,ENE,9.2,,Partly Cloudy,False,False,True,False,False,False,False,False,True,True,False,False,False,Day,Day,Day,Day
A-7610163,Source1,3,2018-03-26 16:01:52,2018-03-26 22:01:52,40.64468,-73.87536999999998,40.64121,-73.87737,0.262,At Pennsylvania Ave/Exit 14 - Accident. Left lane blocked. Center lane blocked.,Belt Pkwy W,Brooklyn,Kings,NY,11239,US,US/Eastern,KJFK,2018-03-26 15:51:00,43.0,36.4,56.0,30.67,10.0,SSE,12.7,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610164,Source1,2,2018-03-26 16:01:52,2018-03-26 22:01:52,40.70261,-73.8618,40.70239,-73.86046999999998,0.071,At Union Tpke/Exit 5 - Accident. Right lane blocked.,Jackie Robinson Pkwy N,Ridgewood,Queens,NY,11385,US,US/Eastern,KLGA,2018-03-26 15:51:00,48.0,,28.0,30.66,10.0,ENE,8.1,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610169,Source1,3,2018-03-26 17:23:53,2018-03-26 23:23:53,41.25218,-73.67515999999998,41.26339,-73.68354000000002,0.888,At Saw Mill Pky/Exit 5 - Accident. Left lane blocked. Center lane blocked.,I-684 N,Katonah,Westchester,NY,10536,US,US/Eastern,KDXR,2018-03-26 16:53:00,46.9,,28.0,30.64,10.0,East,8.1,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610170,Source1,2,2018-03-26 17:26:08,2018-03-26 23:26:08,40.756263,-73.853864,40.756263,-73.853864,0.0,At Grand Central Pky/Astoria Blvd - Accident.,Grand Central Pkwy E,Corona,Queens,NY,11368,US,US/Eastern,KLGA,2018-03-26 17:51:00,45.0,39.3,48.0,30.65,10.0,South,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610171,Source1,2,2018-03-26 17:26:08,2018-03-26 23:26:08,41.52985,-73.80870999999998,41.53045,-73.80421,0.236,At Lime Kiln Rd/Exit 15 - Accident. Left lane blocked.,I-84 E,Hopewell Junction,Dutchess,NY,12533,US,US/Eastern,KPOU,2018-03-26 17:53:00,50.0,,22.0,30.61,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610174,Source1,2,2018-03-26 18:14:53,2018-03-27 00:14:53,40.83602,-73.87392,40.83459000000001,-73.87406,0.099,At I-95/Cross Bronx Expy/Exit 4 - Accident.,E 177th St,Bronx,Bronx,NY,10472,US,US/Eastern,KLGA,2018-03-26 17:51:00,45.0,39.3,48.0,30.65,10.0,South,11.5,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610175,Source1,2,2018-03-26 18:14:53,2018-03-27 00:14:53,40.69057,-73.99886,40.68944000000001,-73.9989,0.078,At Atlantic Ave/Exit 27 - Accident. Right lane blocked.,Brooklyn Queens Expy,Brooklyn,Kings,NY,11201,US,US/Eastern,KJRB,2018-03-26 18:15:00,44.6,41.4,53.0,,10.0,SE,5.8,,,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610176,Source1,2,2018-03-26 18:14:53,2018-03-27 00:14:53,40.76011,-73.96229,40.7505,-73.94053000000002,1.318,Between E 59th St and Bridge Plz S/Queens Plz S - Accident.,Ed Koch Queensboro Brg,New York,New York,NY,10022,US,US/Eastern,KNYC,2018-03-26 17:51:00,45.0,,46.0,30.65,10.0,Calm,,,Clear,True,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610179,Source1,2,2018-03-26 19:26:52,2018-03-27 01:26:52,40.70351,-73.96003,40.7,-73.96186,0.261,At Wythe Ave/Exit 31 - Accident. Left lane blocked.,Brooklyn Queens Expy,Brooklyn,Kings,NY,11211,US,US/Eastern,KJRB,2018-03-26 19:35:00,41.0,35.2,65.0,,10.0,SSE,9.2,,,False,False,True,False,True,False,False,False,False,False,False,True,False,Night,Day,Day,Day
A-7610186,Source1,4,2018-03-26 22:53:39,2018-03-27 04:53:39,40.791807,-73.50885600000002,40.784297,-73.529877,1.216,Closed between S Oyster Bay Rd/Exit 36 and RT-106/RT-107/Exit 35 - Road closed due to accident.,Northern State Pkwy W,Syosset,Nassau,NY,11791,US,US/Eastern,KFRG,2018-03-26 22:53:00,32.0,26.4,75.0,30.7,10.0,East,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-7610637,Source1,2,2018-03-27 17:27:26,2018-03-27 23:27:26,42.74085,-73.69169000000002,42.739649,-73.686327,0.285,Between US-9 and 6th Ave - Accident. Lane blocked.,Collar City Brg,Troy,Albany,NY,12183,US,US/Eastern,KALB,2018-03-27 17:51:00,46.9,,21.0,30.25,10.0,SSE,13.8,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610648,Source1,3,2018-03-27 12:40:09,2018-03-27 18:40:09,40.83263,-73.85866999999998,40.83066,-73.85206,0.371,At Westchester/Castle Hill/Exit 5 - Accident.,Cross Bronx Expy E,Bronx,Bronx,NY,10462,US,US/Eastern,KLGA,2018-03-27 12:51:00,43.0,38.8,45.0,30.51,10.0,ENE,6.9,,Overcast,False,False,True,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-7610663,Source1,2,2018-03-27 15:11:40,2018-03-27 21:11:40,41.10229,-73.99709,41.10382,-74.02338,1.3730000000000002,Between Palisades Pky/Exit 13 and RT-59/Exit 14 - Accident.,I-287 W,Nanuet,Rockland,NY,10954,US,US/Eastern,KHPN,2018-03-27 14:56:00,43.0,38.8,38.0,30.43,10.0,SSE,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610669,Source1,2,2018-03-27 16:45:26,2018-03-27 22:45:26,40.73547,-73.85982,40.73405,-73.8645,0.264,At Junction Blvd/Exit 19 - Accident.,Long Island Expy E,Rego Park,Queens,NY,11374,US,US/Eastern,KLGA,2018-03-27 16:51:00,42.1,37.1,43.0,30.36,10.0,SSE,8.1,,Overcast,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day
A-7610684,Source1,2,2018-03-27 19:06:25,2018-03-28 01:06:25,40.84385,-73.8956,40.84406,-73.8975,0.1,At 3rd Ave/Exit 3 - Accident. Center lane blocked.,Cross Bronx Expy W,Bronx,Bronx,NY,10457,US,US/Eastern,KLGA,2018-03-27 18:51:00,41.0,35.8,47.0,30.3,10.0,South,8.1,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610983,Source1,4,2018-03-28 14:05:40,2018-03-28 20:05:40,43.072817,-73.98397299999998,43.07141,-73.98849,0.248,Closed at CR-52/Jockey St - Road closed due to accident., Route 29,Middle Grove,Saratoga,NY,12850-1302,US,US/Eastern,KSCH,2018-03-28 13:45:00,42.8,,81.0,30.01,10.0,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610984,Source1,4,2018-03-28 14:05:40,2018-03-28 20:05:40,43.07141,-73.98849,43.072817,-73.98397299999998,0.248,Closed at Antioch Rd - Road closed due to accident., Route 29,Middle Grove,Saratoga,NY,12850-1301,US,US/Eastern,KSCH,2018-03-28 13:45:00,42.8,,81.0,30.01,10.0,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610991,Source1,2,2018-03-28 16:36:47,2018-03-28 22:36:47,43.13522,-76.07776,43.13793,-76.08846,0.5710000000000001,At Northern Blvd/Exit 8 - Accident. Right lane blocked.,I-481 N,East Syracuse,Onondaga,NY,13057,US,US/Eastern,KSYR,2018-03-28 16:54:00,43.0,,100.0,29.99,5.0,Calm,,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610997,Source1,2,2018-03-28 18:21:00,2018-03-29 00:21:00,42.91421,-78.76655,42.90297,-78.76703,0.777,At Walden Ave/Exit 52 - Accident. Right lane blocked.,New York Trwy W,Buffalo,Erie,NY,14225,US,US/Eastern,KBUF,2018-03-28 17:54:00,44.1,,82.0,29.99,10.0,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7611008,Source1,2,2018-03-27 06:18:24,2018-03-27 12:18:24,40.66586,-73.75435999999998,40.66611,-73.7589,0.239,At Springfield Blvd/Exit 22 - Accident.,Belt Pkwy W,Springfield Gardens,Queens,NY,11413,US,US/Eastern,KJFK,2018-03-27 05:51:00,30.0,24.1,69.0,30.61,10.0,NNE,5.8,,Mostly Cloudy,False,False,False,True,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-7611009,Source1,3,2018-03-27 06:34:09,2018-03-27 12:34:09,40.83602,-73.87392,40.83459000000001,-73.87406,0.099,At I-95/Cross Bronx Expy/Exit 4 - Accident.,E 177th St,Bronx,Bronx,NY,10472,US,US/Eastern,KLGA,2018-03-27 06:51:00,36.0,30.3,67.0,30.58,10.0,ENE,6.9,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-7611010,Source1,3,2018-03-27 07:04:09,2018-03-27 13:04:09,40.815828,-73.93084,40.81949,-73.93063000000002,0.253,At 149th St/Exit 4 - Accident., River Ave,Bronx,Bronx,NY,10451,US,US/Eastern,KLGA,2018-03-27 06:51:00,36.0,30.3,67.0,30.58,10.0,ENE,6.9,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7611011,Source1,2,2018-03-27 07:06:24,2018-03-27 13:06:24,41.29729,-74.02986999999997,41.30706,-74.02757,0.6859999999999999,At Seven Lakes Dr/US-6/Exit 18 - Accident. Right lane blocked.,Palisades Interstate Pkwy N,Highland Falls,Orange,NY,10928,US,US/Eastern,KSWF,2018-03-27 06:45:00,26.6,,93.0,30.57,20.0,Calm,,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7611012,Source1,2,2018-03-27 07:07:54,2018-03-27 13:07:54,40.92259,-73.82061999999998,40.92273,-73.81586999999998,0.248,Between RT-22/Columbus Ave/Exit 8 and Hutchinson Pky/Exit 9 - Accident. Center lane blocked.,Cross County Pkwy E,Mount Vernon,Westchester,NY,10552,US,US/Eastern,KLGA,2018-03-27 06:51:00,36.0,30.3,67.0,30.58,10.0,ENE,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7611019,Source1,2,2018-03-27 08:04:56,2018-03-27 14:04:56,41.515953,-73.786118,41.54264000000001,-73.77323,1.961,At I-84 - Accident. Right lane blocked., Taconic State Pkwy,Hopewell Junction,Dutchess,NY,12533,US,US/Eastern,KPOU,2018-03-27 07:53:00,27.0,,85.0,30.57,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7611032,Source1,2,2018-03-27 09:29:40,2018-03-27 15:29:40,40.66355,-73.56828,40.69366,-73.57571999999998,2.117,Between Babylon Tpke/Exit M7 and Southern Pky/Exit M6 - Accident. Right lane blocked.,Meadowbrook Pkwy N,Merrick,Nassau,NY,11566,US,US/Eastern,KFRG,2018-03-27 09:53:00,37.9,32.1,53.0,30.57,10.0,ENE,8.1,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7611040,Source1,2,2018-03-28 01:36:08,2018-03-28 02:06:08,40.615142,-73.97425799999998,40.615142,-73.97425799999998,0.0,At Avenue P - Accident., McDonald Ave,Brooklyn,Kings,NY,11230-5513,US,US/Eastern,KJRB,2018-03-28 01:35:00,37.4,34.9,93.0,,10.0,SW,3.5,,,False,False,False,False,False,False,True,False,True,False,False,False,False,Night,Night,Night,Night
A-7611041,Source1,2,2018-03-28 01:36:08,2018-03-28 02:06:08,40.615142,-73.97425799999998,40.615142,-73.97425799999998,0.0,At Bay Pky - Accident., McDonald Ave,Brooklyn,Kings,NY,11230-5513,US,US/Eastern,KJRB,2018-03-28 01:35:00,37.4,34.9,93.0,,10.0,SW,3.5,,,False,False,False,False,False,False,True,False,True,False,False,False,False,Night,Night,Night,Night
A-7611049,Source1,2,2018-03-28 12:02:40,2018-03-28 18:02:40,40.86943,-72.62446,40.86707,-72.65026,1.358,Between CR-104/Exit 64 and CR-31/Exit 63 - Accident. Right lane blocked.,Sunrise Hwy W,Westhampton Beach,Suffolk,NY,11978,US,US/Eastern,KFOK,2018-03-28 11:53:00,44.6,42.2,76.0,30.08,10.0,WNW,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7611061,Source1,2,2018-03-28 13:41:46,2018-03-28 14:11:46,40.58481,-73.94639000000002,40.584808,-73.946412,0.001,At Coney Island Ave/Exit 8 - Accident.,Belt Pkwy W,Brooklyn,Kings,NY,11235,US,US/Eastern,KJRB,2018-03-28 13:35:00,46.4,44.3,71.0,,10.0,SW,4.6,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7611067,Source1,2,2018-03-28 14:49:55,2018-03-28 20:49:55,40.58494,-73.95294,40.58513,-73.95711999999997,0.22,At Coney Island Ave/Exit 8 - Accident. Right lane blocked.,Belt Pkwy W,Brooklyn,Kings,NY,11235,US,US/Eastern,KJRB,2018-03-28 14:55:00,48.2,,71.0,,10.0,Variable,6.9,,,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7611098,Source1,2,2018-03-28 18:20:41,2018-03-29 00:20:41,40.88065,-73.86929,40.87624,-73.87085,0.315,At Gun Hill Rd/Exit 9 - Accident. Left lane blocked.,Bronx River Pkwy S,Bronx,Bronx,NY,10467,US,US/Eastern,KLGA,2018-03-28 17:51:00,51.1,,63.0,30.01,10.0,Variable,3.5,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7611099,Source1,2,2018-03-28 18:20:41,2018-03-29 00:20:41,41.09543,-73.80235,41.09344,-73.80334,0.147,At RT-100/Bradhurst Ave - Accident. Left lane blocked.,Sprain Brook Pkwy S,Hawthorne,Westchester,NY,10532,US,US/Eastern,KHPN,2018-03-28 17:56:00,52.0,,45.0,30.0,10.0,WNW,4.6,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7611104,Source1,2,2018-03-28 19:22:09,2018-03-29 01:22:09,40.835995,-73.86967299999998,40.835995,-73.86967299999998,0.0,At Bronx River Pky/Exit 4B - Accident. Left lane blocked.,Cross Bronx Expy W,Bronx,Bronx,NY,10460,US,US/Eastern,KLGA,2018-03-28 19:51:00,48.9,,69.0,30.01,10.0,South,8.1,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-7611109,Source1,2,2018-03-28 20:58:09,2018-03-29 02:58:09,40.74184,-73.78288,40.74285,-73.77865,0.232,At Francis Lewis Blvd/Exit 26 - Accident. Left lane blocked.,Long Island Expy E,Fresh Meadows,Queens,NY,11365,US,US/Eastern,KLGA,2018-03-28 20:51:00,48.0,,71.0,30.03,10.0,SE,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-7611491,Source1,4,2018-03-29 06:00:45,2018-03-29 12:00:45,43.0908,-75.2679,43.097183,-75.251543,0.936,Closed between Burrstone R and Noyes St - Road closed due to accident.,N South Arterial Hwy,Utica,Oneida,NY,13502,US,US/Eastern,KRME,2018-03-29 05:53:00,39.9,36.7,93.0,30.0,10.0,ESE,4.6,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-7611516,Source1,2,2018-03-29 16:09:47,2018-03-29 22:09:47,43.12682,-77.55328,43.12961,-77.55315,0.193,At Elmwood Ave/Exit 3 - Accident. Left lane blocked., Elmwood Ave,Rochester,Monroe,NY,14618-2021,US,US/Eastern,KROC,2018-03-29 15:58:00,48.0,,96.0,29.75,1.8,North,4.6,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7611532,Source1,2,2018-03-29 17:55:33,2018-03-29 23:55:33,43.05879,-76.09929,43.05648,-76.10991999999997,0.56,At Midler Ave/Exit 15 - Accident. Right lane blocked.,I-690 W,Syracuse,Onondaga,NY,13224,US,US/Eastern,KSYR,2018-03-29 17:54:00,46.0,43.1,100.0,29.76,8.0,ENE,5.8,0.05,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7611533,Source1,2,2018-03-29 17:57:47,2018-03-29 23:57:47,42.87605,-78.79305,42.87691,-78.78279,0.523,Ramp to Exit 1/Exit 52 - Accident. Left lane blocked.,I-190 S,Buffalo,Erie,NY,14206,US,US/Eastern,KBUF,2018-03-29 17:54:00,46.9,,97.0,29.72,1.5,North,11.5,0.1,Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7611545,Source1,2,2018-03-29 06:00:24,2018-03-29 12:00:24,40.73279,-73.92256,40.73254,-73.92112,0.077,Ramp to Exit 35 - Accident. Right lane blocked., 53rd Ave,Maspeth,Queens,NY,11378,US,US/Eastern,KLGA,2018-03-29 05:51:00,50.0,,74.0,30.01,10.0,SSE,3.5,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-7611546,Source1,2,2018-03-29 06:00:24,2018-03-29 12:00:24,40.7322,-73.92489,40.73279,-73.92256,0.129,Ramp to I-495 and 53rd Ave/48th St - Accident. Right lane blocked., 43rd St,Maspeth,Queens,NY,11378-1004,US,US/Eastern,KLGA,2018-03-29 05:51:00,50.0,,74.0,30.01,10.0,SSE,3.5,,Overcast,False,False,True,False,False,False,False,False,False,True,False,False,False,Night,Night,Day,Day
A-7611571,Source1,2,2018-03-29 08:40:55,2018-03-29 14:40:55,40.66586,-73.75435999999998,40.66611,-73.7589,0.239,At Springfield Blvd/Exit 22 - Accident. Left lane blocked.,Belt Pkwy W,Springfield Gardens,Queens,NY,11413,US,US/Eastern,KJFK,2018-03-29 08:51:00,48.0,,89.0,30.06,6.0,Calm,,0.0,Overcast,False,False,False,True,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7611581,Source1,3,2018-03-29 09:43:09,2018-03-29 15:43:09,40.85325,-73.82625,40.85905,-73.82696999999997,0.403,At Pelham Pky/Exit 8 - Accident.,Bruckner Expy N,Bronx,Bronx,NY,10465,US,US/Eastern,KLGA,2018-03-29 09:51:00,46.0,41.0,89.0,30.04,1.0,NE,10.4,0.0,Light Rain,False,False,False,False,True,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-7611586,Source1,2,2018-03-29 10:40:09,2018-03-29 16:40:09,40.79705,-73.976,40.79609,-73.97667,0.075,At 95th St/96th St - Accident. Left lane blocked.,Henry Hudson Pkwy S,New York,New York,NY,10024,US,US/Eastern,KNYC,2018-03-29 10:51:00,50.0,,93.0,30.05,1.8,North,,0.01,Light Rain,False,False,False,True,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7611619,Source1,3,2018-03-29 16:10:56,2018-03-29 22:10:56,40.81622,-73.79818,40.789728,-73.792159,1.857,Between Toll Plaza and Bell Blvd/Cross Is Pky/Exit 7 - Accident.,Throgs Neck Brg N,Bronx,Bronx,NY,10465,US,US/Eastern,KLGA,2018-03-29 15:51:00,52.0,,83.0,29.95,10.0,East,8.1,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
